Actual,Predicted,Error,,X_std,Y_std,,X_100,Y_100
1.603,11.06483113,-9.461831128,,-1.041037332,-0.792675083,,0.01603,0.110648311
1.474,10.64124306,-9.167243057,,-1.046893752,-0.833099926,,0.01474,0.106412431
11.218,25.59817467,-14.38017467,,-0.604529763,0.594304806,,0.11218,0.255981747
11.859,20.76581192,-8.906811918,,-0.575429258,0.133131509,,0.11859,0.207658119
1.859,15.2278481,-13.3688481,,-1.029415289,-0.395380351,,0.01859,0.152278481
22.628,22.72802194,-0.10002194,,-0.086531702,0.320393705,,0.22628,0.227280219
12.628,22.97851699,-10.35051699,,-0.540517733,0.344299532,,0.12628,0.22978517
25.192,17.8035582,7.388441804,,0.029870316,-0.149569187,,0.25192,0.178035582
27.628,22.45785342,5.170146576,,0.140461314,0.294610354,,0.27628,0.224578534
35.449,17.46560027,17.98339973,,0.495523788,-0.181821975,,0.35449,0.174656003
29.808,19.86186774,9.946132262,,0.239430268,0.046864203,,0.29808,0.198618677
5.833,18.63964659,-12.80664659,,-0.849001241,-0.069777653,,0.05833,0.186396466
24.679,27.4995508,-2.820550799,,0.006580833,0.77576136,,0.24679,0.274995508
31.859,19.43333045,12.42566955,,0.332542803,0.005967034,,0.31859,0.194333305
83.397,23.23470353,60.16229647,,2.672296009,0.368748523,,0.83397,0.232347035
25.705,19.89577309,5.809226913,,0.0531598,0.050099937,,0.25705,0.198957731
58.141,18.38156738,39.75943262,,1.52570889,-0.094407269,,0.58141,0.183815674
18.782,18.68232218,0.099677822,,-0.261134729,-0.065704936,,0.18782,0.186823222
7.5,17.07844086,-9.57844086,,-0.773321769,-0.218770274,,0.075,0.170784409
27.244,28.52573648,-1.281736478,,0.12302825,0.873694702,,0.27244,0.285257365
17.244,18.66616564,-1.422165641,,-0.330957781,-0.067246825,,0.17244,0.186661656
16.603,20.04423104,-3.441231037,,-0.360058285,0.064267922,,0.16603,0.20044231
16.859,16.85530879,0.003691207,,-0.348436243,-0.240064733,,0.16859,0.168553088
18.397,17.18536517,1.211634835,,-0.278613191,-0.208566024,,0.18397,0.171853652
57.628,26.11444405,31.51355595,,1.502419406,0.643574627,,0.57628,0.261144441
60.321,20.76991179,39.55108821,,1.624677844,0.133522777,,0.60321,0.207699118
23.141,21.1198905,2.021109504,,-0.063242218,0.16692276,,0.23141,0.211198905
5.705,23.24933262,-17.54433262,,-0.854812262,0.370144641,,0.05705,0.232493326
5.962,18.18553383,-12.22353383,,-0.843144821,-0.113115598,,0.05962,0.181855338
5.321,21.39445759,-16.07345759,,-0.872245325,0.193125887,,0.05321,0.213944576
3.269,14.77915419,-11.51015419,,-0.965403259,-0.438201154,,0.03269,0.147791542
4.295,16.93075301,-12.63575301,,-0.918824292,-0.232864765,,0.04295,0.16930753
2.885,13.51776099,-10.63276099,,-0.982836323,-0.558581367,,0.02885,0.13517761
3.782,15.90285325,-12.12085325,,-0.942113776,-0.330961688,,0.03782,0.159028533
4.679,15.22537281,-10.54637281,,-0.901391229,-0.39561658,,0.04679,0.152253728
3.269,15.6543225,-12.3853225,,-0.965403259,-0.354680054,,0.03269,0.156543225
4.423,22.9457142,-18.5227142,,-0.913013271,0.34116902,,0.04423,0.229457142
34.808,23.34929306,11.45870694,,0.466423284,0.379684297,,0.34808,0.233492931
9.295,18.15668695,-8.861686947,,-0.691831277,-0.115868582,,0.09295,0.18156687
19.551,19.45149669,0.099503306,,-0.226223204,0.007700717,,0.19551,0.194514967
6.603,17.56706046,-10.96406046,,-0.814044316,-0.17213919,,0.06603,0.175670605
3.91,16.79316502,-12.88316502,,-0.936302754,-0.245995382,,0.0391,0.16793165
4.808,17.109988,-12.301988,,-0.895534809,-0.215759593,,0.04808,0.17109988
5.449,19.36073782,-13.91173782,,-0.866434304,-0.000960795,,0.05449,0.193607378
10.321,17.1537009,-6.832700896,,-0.64525231,-0.211587883,,0.10321,0.171537009
18.91,18.8097897,0.100210301,,-0.255323708,-0.053540159,,0.1891,0.188097897
19.551,19.010738,0.540262004,,-0.226223204,-0.034362793,,0.19551,0.19010738
13.526,16.85084811,-3.324848111,,-0.499749787,-0.240490435,,0.13526,0.168508481
11.731,21.8789128,-10.1479128,,-0.58124028,0.239359545,,0.11731,0.218789128
12.372,16.88519855,-4.513198551,,-0.552139775,-0.237212224,,0.12372,0.168851986
8.269,18.99733542,-10.72833542,,-0.738410244,-0.035641859,,0.08269,0.189973354
23.013,22.91302719,0.099972809,,-0.06905324,0.338049558,,0.23013,0.229130272
