gb,"{'Maximum_duration_of_Visit': 0.12186046511627908, 'Number_of_Visits_per_character': 0.09906976744186047, 'Time_to_entry_saccade': 0.06418604651162792, 'Number_of_regression': 0.005581395348837237, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.013488372093023272, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.017209302325581422, 'Cossim_model6': 0.09488372093023256, 'Norm_model6': 0.10372093023255813}",2025-02-15_18-24-09
svm,"{'Maximum_duration_of_Visit': 0.13720930232558134, 'Number_of_Visits_per_character': 0.12883720930232556, 'Time_to_entry_saccade': 0.10604651162790693, 'Number_of_regression': 0.12186046511627904, 'extra_difficult_kanzi_words': 0.004651162790697638, 'Percentage_of_regular_difficulty_kanzi_words': 0.07953488372093018, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.11209302325581391, 'Cossim_model6': 0.1255813953488372, 'Norm_model6': 0.09627906976744183}",2025-02-15_18-24-09
knn,"{'Maximum_duration_of_Visit': 0.040930232558139525, 'Number_of_Visits_per_character': 0.026511627906976743, 'Time_to_entry_saccade': 0.02186046511627906, 'Number_of_regression': 0.026046511627906964, 'extra_difficult_kanzi_words': 0.0009302325581395543, 'Percentage_of_regular_difficulty_kanzi_words': 0.017674418604651177, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.016744186046511643, 'Cossim_model6': 0.024186046511627902, 'Norm_model6': 0.006976744186046502}",2025-02-15_18-24-09
mlp,"{'Maximum_duration_of_Visit': 0.08372093023255818, 'Number_of_Visits_per_character': 0.032093023255814, 'Time_to_entry_saccade': 0.04046511627906981, 'Number_of_regression': 0.017209302325581422, 'extra_difficult_kanzi_words': 2.2204460492503132e-17, 'Percentage_of_regular_difficulty_kanzi_words': 0.01395348837209307, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.038139534883720995, 'Cossim_model6': 0.027441860465116298, 'Norm_model6': 0.03395348837209304}",2025-02-15_18-24-09
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-24-09
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0032558139534883514, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010232558139534876}",2025-02-15_18-27-07
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-27-07
gb,"{'Maximum_duration_of_Visit': 0.11627906976744187, 'Number_of_Visits_per_character': 0.06232558139534885, 'Time_to_entry_saccade': 0.0655813953488372, 'Number_of_regression': 0.0023255813953488857, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0027906976744186186, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.031162790697674404, 'Cossim_model6': 0.07488372093023254, 'Norm_model6': 0.08325581395348838}",2025-02-15_18-27-07
svm,"{'Maximum_duration_of_Visit': 0.13767441860465118, 'Number_of_Visits_per_character': 0.12697674418604654, 'Time_to_entry_saccade': 0.10418604651162795, 'Number_of_regression': 0.11674418604651164, 'extra_difficult_kanzi_words': 0.004651162790697683, 'Percentage_of_regular_difficulty_kanzi_words': 0.07906976744186052, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.11116279069767446, 'Cossim_model6': 0.12418604651162794, 'Norm_model6': 0.09162790697674421}",2025-02-15_18-27-07
knn,"{'Maximum_duration_of_Visit': 0.020465116279069818, 'Number_of_Visits_per_character': 0.006976744186046524, 'Time_to_entry_saccade': -0.0023255813953487747, 'Number_of_regression': -0.0046511627906976605, 'extra_difficult_kanzi_words': 0.0013953488372093314, 'Percentage_of_regular_difficulty_kanzi_words': 0.006511627906976791, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.0013953488372092648, 'Cossim_model6': -0.004186046511627861, 'Norm_model6': 2.2204460492503132e-17}",2025-02-15_18-27-07
mlp,"{'Maximum_duration_of_Visit': 0.18093023255813953, 'Number_of_Visits_per_character': 0.1111627906976744, 'Time_to_entry_saccade': 0.12651162790697673, 'Number_of_regression': 0.133953488372093, 'extra_difficult_kanzi_words': 0.0046511627906976605, 'Percentage_of_regular_difficulty_kanzi_words': 0.09116279069767438, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.14651162790697672, 'Cossim_model6': 0.15767441860465115, 'Norm_model6': 0.12511627906976744}",2025-02-15_18-27-07
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-27-07
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05302325581395351, 'Number_of_Visits_per_character': 0.0032558139534883514, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010232558139534876}",2025-02-15_18-29-28
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-29-28
gb,"{'Maximum_duration_of_Visit': 0.07581395348837208, 'Number_of_Visits_per_character': 0.044651162790697696, 'Time_to_entry_saccade': 0.01581395348837209, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906977717, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.014418604651162802, 'Cossim_model6': 0.06558139534883725, 'Norm_model6': 0.07906976744186045}",2025-02-15_18-29-28
svm,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-29-28
knn,"{'Maximum_duration_of_Visit': 0.027906976744186095, 'Number_of_Visits_per_character': 0.00046511627906984374, 'Time_to_entry_saccade': 0.003720930232558195, 'Number_of_regression': -0.004651162790697638, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.0027906976744186407, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.005581395348837259, 'Cossim_model6': 0.0009302325581395987, 'Norm_model6': 4.4408920985006264e-17}",2025-02-15_18-29-28
mlp,"{'Maximum_duration_of_Visit': 0.03767441860465122, 'Number_of_Visits_per_character': 0.005116279069767482, 'Time_to_entry_saccade': 0.004186046511627928, 'Number_of_regression': 0.006046511627907014, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790864, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0027906976744186407, 'Cossim_model6': 0.006976744186046569, 'Norm_model6': 0.0023255813953488415}",2025-02-15_18-29-28
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-29-28
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0037209302325581064, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.004651162790697683, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.009302325581395344, 'Norm_model6': 0.010232558139534876}",2025-02-15_18-32-09
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-32-09
gb,"{'Maximum_duration_of_Visit': 0.08046511627906978, 'Number_of_Visits_per_character': 0.06325581395348838, 'Time_to_entry_saccade': 0.020000000000000018, 'Number_of_regression': 0.004651162790697683, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0041860465116279055, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.02930232558139534, 'Cossim_model6': 0.09767441860465116, 'Norm_model6': 0.08000000000000003}",2025-02-15_18-32-09
svm,"{'Maximum_duration_of_Visit': 0.13581395348837214, 'Number_of_Visits_per_character': 0.1265116279069768, 'Time_to_entry_saccade': 0.10325581395348837, 'Number_of_regression': 0.11627906976744189, 'extra_difficult_kanzi_words': 0.004651162790697683, 'Percentage_of_regular_difficulty_kanzi_words': 0.07813953488372098, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.10930232558139538, 'Cossim_model6': 0.12186046511627913, 'Norm_model6': 0.09116279069767444}",2025-02-15_18-32-09
knn,"{'Maximum_duration_of_Visit': 0.025116279069767454, 'Number_of_Visits_per_character': -0.006511627906976747, 'Time_to_entry_saccade': -0.00046511627906977717, 'Number_of_regression': -0.008837209302325566, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906975495, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.006046511627906992, 'Cossim_model6': 0.0009302325581395099, 'Norm_model6': -0.007906976744186056}",2025-02-15_18-32-09
mlp,"{'Maximum_duration_of_Visit': 0.058139534883720964, 'Number_of_Visits_per_character': 0.017209302325581422, 'Time_to_entry_saccade': 0.006511627906976791, 'Number_of_regression': -0.0032558139534883514, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.00511627906976746, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.009302325581395387, 'Cossim_model6': 0.006046511627907014, 'Norm_model6': 0.018139534883720977}",2025-02-15_18-32-09
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-32-09
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0037209302325581285, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.0041860465116279055, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010232558139534876}",2025-02-15_18-34-00
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-34-00
gb,"{'Maximum_duration_of_Visit': 0.10837209302325582, 'Number_of_Visits_per_character': 0.06279069767441862, 'Time_to_entry_saccade': 0.05255813953488373, 'Number_of_regression': 0.009767441860465098, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.009302325581395366, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.014883720930232536, 'Cossim_model6': 0.08697674418604655, 'Norm_model6': 0.10465116279069767}",2025-02-15_18-34-00
svm,"{'Maximum_duration_of_Visit': 0.16418604651162794, 'Number_of_Visits_per_character': 0.14093023255813955, 'Time_to_entry_saccade': 0.17069767441860467, 'Number_of_regression': 0.18930232558139534, 'extra_difficult_kanzi_words': 0.005581395348837215, 'Percentage_of_regular_difficulty_kanzi_words': 0.13627906976744186, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.16930232558139535, 'Cossim_model6': 0.16232558139534883, 'Norm_model6': 0.16279069767441862}",2025-02-15_18-34-00
knn,"{'Maximum_duration_of_Visit': 0.036279069767441906, 'Number_of_Visits_per_character': 0.02651162790697681, 'Time_to_entry_saccade': 0.017209302325581443, 'Number_of_regression': 0.020930232558139573, 'extra_difficult_kanzi_words': 0.0009302325581395765, 'Percentage_of_regular_difficulty_kanzi_words': 0.019534883720930284, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.02558139534883728, 'Cossim_model6': 0.020930232558139594, 'Norm_model6': 0.018604651162790753}",2025-02-15_18-34-00
mlp,"{'Maximum_duration_of_Visit': 0.05627906976744183, 'Number_of_Visits_per_character': 0.012093023255813962, 'Time_to_entry_saccade': 0.0013953488372093093, 'Number_of_regression': -0.006976744186046502, 'extra_difficult_kanzi_words': -0.0009302325581395543, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488415, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006511627906976747, 'Cossim_model6': 0.004651162790697683, 'Norm_model6': 0.014418604651162781}",2025-02-15_18-34-00
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-34-00
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0037209302325581285, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010697674418604652}",2025-02-15_18-36-17
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-36-17
gb,"{'Maximum_duration_of_Visit': 0.12232558139534884, 'Number_of_Visits_per_character': 0.08697674418604653, 'Time_to_entry_saccade': 0.05581395348837213, 'Number_of_regression': 0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0246511627906977, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.032558139534883755, 'Cossim_model6': 0.07767441860465119, 'Norm_model6': 0.09860465116279074}",2025-02-15_18-36-17
svm,"{'Maximum_duration_of_Visit': 0.07116279069767442, 'Number_of_Visits_per_character': 0.03162790697674418, 'Time_to_entry_saccade': 0.022325581395348838, 'Number_of_regression': 0.02232558139534886, 'extra_difficult_kanzi_words': 0.0037209302325581506, 'Percentage_of_regular_difficulty_kanzi_words': 0.01581395348837209, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.019534883720930218, 'Cossim_model6': 0.024186046511627923, 'Norm_model6': 0.018139534883720953}",2025-02-15_18-36-17
knn,"{'Maximum_duration_of_Visit': 0.02976744186046514, 'Number_of_Visits_per_character': -0.0013953488372093093, 'Time_to_entry_saccade': -0.006046511627906992, 'Number_of_regression': -0.0065116279069767245, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906975495, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.008837209302325589, 'Cossim_model6': 0.0018604651162790864, 'Norm_model6': -0.007441860465116279}",2025-02-15_18-36-17
mlp,"{'Maximum_duration_of_Visit': 0.05534883720930237, 'Number_of_Visits_per_character': 0.01395348837209307, 'Time_to_entry_saccade': 0.006046511627907014, 'Number_of_regression': -0.0013953488372092427, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0009302325581395765, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.005116279069767504, 'Cossim_model6': 0.0032558139534884178, 'Norm_model6': 0.012093023255813984}",2025-02-15_18-36-17
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-36-17
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05302325581395351, 'Number_of_Visits_per_character': 0.0032558139534883514, 'Time_to_entry_saccade': 0.0027906976744185965, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010697674418604652}",2025-02-15_18-38-42
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-38-42
gb,"{'Maximum_duration_of_Visit': 0.12232558139534884, 'Number_of_Visits_per_character': 0.02976744186046514, 'Time_to_entry_saccade': 0.029767441860465114, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.005581395348837193, 'Cossim_model6': 0.0772093023255814, 'Norm_model6': 0.066046511627907}",2025-02-15_18-38-42
svm,"{'Maximum_duration_of_Visit': 0.1325581395348837, 'Number_of_Visits_per_character': 0.086046511627907, 'Time_to_entry_saccade': 0.12651162790697676, 'Number_of_regression': 0.1344186046511628, 'extra_difficult_kanzi_words': 0.010232558139534876, 'Percentage_of_regular_difficulty_kanzi_words': 0.08558139534883721, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.12232558139534881, 'Cossim_model6': 0.11906976744186046, 'Norm_model6': 0.10604651162790699}",2025-02-15_18-38-42
knn,"{'Maximum_duration_of_Visit': 0.02883720930232563, 'Number_of_Visits_per_character': 0.0032558139534883956, 'Time_to_entry_saccade': -0.0013953488372092427, 'Number_of_regression': -0.004651162790697638, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00325581395348844, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.006976744186046458, 'Cossim_model6': 0.0018604651162791087, 'Norm_model6': -0.0009302325581394654}",2025-02-15_18-38-42
mlp,"{'Maximum_duration_of_Visit': 0.06744186046511624, 'Number_of_Visits_per_character': 0.031627906976744155, 'Time_to_entry_saccade': 0.025581395348837167, 'Number_of_regression': 0.012093023255813896, 'extra_difficult_kanzi_words': 0.0004651162790697327, 'Percentage_of_regular_difficulty_kanzi_words': 0.009302325581395298, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.030232558139534828, 'Cossim_model6': 0.020465116279069707, 'Norm_model6': 0.023255813953488347}",2025-02-15_18-38-42
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-38-42
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0032558139534883514, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010232558139534876}",2025-02-15_18-40-58
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-40-58
gb,"{'Maximum_duration_of_Visit': 0.08930232558139539, 'Number_of_Visits_per_character': 0.05395348837209304, 'Time_to_entry_saccade': 0.020465116279069752, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0013953488372093093, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0037209302325581506, 'Cossim_model6': 0.05255813953488373, 'Norm_model6': 0.06744186046511627}",2025-02-15_18-40-58
svm,"{'Maximum_duration_of_Visit': 0.13767441860465116, 'Number_of_Visits_per_character': 0.12186046511627906, 'Time_to_entry_saccade': 0.10279069767441859, 'Number_of_regression': 0.11906976744186044, 'extra_difficult_kanzi_words': 0.004651162790697683, 'Percentage_of_regular_difficulty_kanzi_words': 0.07534883720930233, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.11023255813953488, 'Cossim_model6': 0.12093023255813948, 'Norm_model6': 0.09023255813953487}",2025-02-15_18-40-58
knn,"{'Maximum_duration_of_Visit': 0.02883720930232563, 'Number_of_Visits_per_character': 0.0032558139534883956, 'Time_to_entry_saccade': -0.0013953488372092427, 'Number_of_regression': -0.004651162790697638, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00325581395348844, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.006976744186046458, 'Cossim_model6': 0.0018604651162791087, 'Norm_model6': -0.0009302325581394654}",2025-02-15_18-40-58
mlp,"{'Maximum_duration_of_Visit': 0.06511627906976743, 'Number_of_Visits_per_character': 0.025116279069767433, 'Time_to_entry_saccade': 0.018604651162790687, 'Number_of_regression': 0.007906976744186034, 'extra_difficult_kanzi_words': 0.0009302325581395099, 'Percentage_of_regular_difficulty_kanzi_words': 0.010232558139534876, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.02186046511627906, 'Cossim_model6': 0.01255813953488374, 'Norm_model6': 0.014883720930232557}",2025-02-15_18-40-58
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_18-40-58
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0037209302325581285, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.0041860465116279055, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010232558139534876}",2025-02-15_18-43-15
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_18-43-15
gb,"{'Maximum_duration_of_Visit': 0.0772093023255814, 'Number_of_Visits_per_character': 0.05395348837209302, 'Time_to_entry_saccade': 0.016279069767441867, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.007441860465116279, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0032558139534883956, 'Cossim_model6': 0.05627906976744186, 'Norm_model6': 0.07023255813953488}",2025-02-15_18-43-15
